"IDFACTURA";"IDVCTO";"FECHA";"IMPORTE"
159;138;30/3/2002 0:00:00;1028.32 €
162;139;14/4/2002 0:00:00;853.39 €
163;140;25/4/2002 0:00:00;2275.78 €
165;141;30/4/2002 0:00:00;621.19 €
166;142;28/2/2002 0:00:00;661.47 €
167;143;30/4/2002 0:00:00;1048.90 €
168;144;10/5/2002 0:00:00;195.85 €
169;145;20/4/2002 0:00:00;881.94 €
170;146;10/5/2002 0:00:00;961.54 €
171;147;31/3/2002 0:00:00;2548.98 €
173;148;15/4/2002 0:00:00;1207.10 €
174;149;10/5/2002 0:00:00;511.17 €
175;150;30/4/2002 0:00:00;931.82 €
177;151;30/4/2002 0:00:00;632.74 €
177;152;30/5/2002 0:00:00;632.73 €
179;153;30/4/2002 0:00:00;836.60 €
179;154;30/5/2002 0:00:00;836.60 €
180;155;10/4/2002 0:00:00;169.34 €
181;156;31/3/2002 0:00:00;1169.29 €
182;157;30/4/2002 0:00:00;892.39 €
184;158;20/5/2002 0:00:00;1648.94 €
186;159;31/3/2002 0:00:00;604.45 €
188;160;10/5/2002 0:00:00;4267.91 €
189;161;31/3/2002 0:00:00;344.88 €
190;162;30/4/2002 0:00:00;1098.45 €
191;163;20/5/2002 0:00:00;488.09 €
192;164;30/4/2002 0:00:00;2140.33 €
196;165;25/2/2002 0:00:00;41.27 €
200;166;25/4/2002 0:00:00;237.15 €
201;171;25/3/2002 0:00:00;1055.58 €
202;167;25/4/2002 0:00:00;348.50 €
203;168;25/4/2002 0:00:00;1186.56 €
206;169;10/4/2002 0:00:00;941.05 €
207;170;25/5/2002 0:00:00;31.52 €
210;172;25/3/2002 0:00:00;158.60 €
211;173;25/4/2002 0:00:00;403.88 €
212;174;15/4/2002 0:00:00;1606.33 €
213;175;15/5/2002 0:00:00;1169.69 €
214;176;1/5/2002 0:00:00;957.34 €
216;177;10/5/2002 0:00:00;35.02 €
217;179;5/5/2002 0:00:00;1661.38 €
218;180;1/5/2002 0:00:00;539.63 €
219;181;1/5/2002 0:00:00;923.87 €
220;182;31/1/2002 0:00:00;154.92 €
221;183;1/5/2002 0:00:00;754.14 €
222;184;15/5/2002 0:00:00;240.17 €
226;185;1/5/2002 0:00:00;2080.14 €
227;186;1/5/2002 0:00:00;130.40 €
228;187;1/5/2002 0:00:00;263.47 €
229;188;15/5/2002 0:00:00;1134.64 €
232;189;1/5/2002 0:00:00;178.63 €
233;190;1/5/2002 0:00:00;132.00 €
234;191;25/5/2002 0:00:00;4785.37 €
235;192;1/5/2002 0:00:00;4281.55 €
236;193;19/4/2002 0:00:00;65.76 €
237;194;25/4/2002 0:00:00;75.29 €
238;195;25/4/2002 0:00:00;763.36 €
239;196;21/3/2002 0:00:00;71.75 €
