"IDPROMOCION";"IDFIRMA";"IDFAMILIA";"IDARTICULO";"FECHALIMITE";"CANTIDADMINIMA";"NETO";"DESCUENTO";"COMISION"
538;"03";"04";"LJN5413";31/12/2012 0:00:00;1,00;559,00 €;65,00;5,00
546;"01";"02";"TR750";28/2/2016 0:00:00;1,00;315,00 €;33,00;7,00
548;"01";"02";"FC-10-A";28/2/2016 0:00:00;1,00;515,00 €;33,00;7,00
561;"10";"01";"BM-4,5-RA";31/12/2010 0:00:00;108,00;5,25 €;0,00;3,00
734;"08";"03";"372000";31/12/2010 0:00:00;6,00;336,77 €;0,00;5,00
735;"08";"03";"373000";31/12/2010 0:00:00;6,00;293,96 €;0,00;5,00
736;"08";"03";"373000";31/12/2010 0:00:00;12,00;272,03 €;0,00;5,00
737;"08";"03";"373000";31/12/2010 0:00:00;1,00;377,33 €;0,00;5,00
763;"08";"02";"280500";31/12/2010 0:00:00;4,00;181,27 €;0,00;5,00
764;"08";"02";"284100";31/12/2010 0:00:00;8,00;51,04 €;0,00;5,00
766;"08";"02";"282500";31/12/2010 0:00:00;8,00;85,50 €;0,00;5,00
768;"08";"01";"187000";30/12/2010 0:00:00;4,00;33,30 €;0,00;5,00
821;"02";"06";"CH-111";31/3/2016 0:00:00;1,00;325,00 €;30,00;6,00
1158;"01";"02";"TR750";28/2/2016 0:00:00;1,00;315,00 €;30,00;7,00
1162;"01";"02";"T2";28/2/2016 0:00:00;1,00;255,00 €;33,00;7,00
1163;"01";"02";"T2";28/2/2016 0:00:00;1,00;255,00 €;30,00;7,00
1165;"01";"02";"T3";28/2/2016 0:00:00;1,00;385,00 €;33,00;7,00
1182;"01";"02";"T2";28/2/2016 0:00:00;1,00;255,00 €;27,00;7,00
1183;"16";"04";"159.0100";31/12/2006 0:00:00;30,00;28,95 €;0,00;0,00
1185;"02";"09";"ACCE-450E";31/12/2006 0:00:00;1,00;17,00 €;0,00;6,00
1186;"02";"09";"ACCE-450V";31/12/2006 0:00:00;0,00;17,00 €;0,00;6,00
1232;"08";"03";"450007";31/12/2010 0:00:00;1,00;1850,88 €;0,00;5,00
1237;"02";"08";"ER1001";28/2/2012 0:00:00;1,00;260,00 €;30,00;6,00
1240;"02";"08";"ER1001";28/2/2012 0:00:00;1,00;260,00 €;27,00;6,00
1241;"02";"08";"ER1005";28/2/2012 0:00:00;1,00;529,00 €;30,00;6,00
1242;"02";"08";"ER1005";28/2/2012 0:00:00;1,00;529,00 €;27,00;6,00
1243;"02";"08";"ER1004";28/2/2012 0:00:00;1,00;495,00 €;30,00;6,00
1244;"02";"08";"ER2007";31/3/2016 0:00:00;1,00;17,00 €;30,00;6,00
1246;"02";"08";"ER2007";31/3/2016 0:00:00;1,00;17,00 €;27,00;6,00
1247;"02";"08";"ER2008";31/3/2016 0:00:00;1,00;19,00 €;30,00;6,00
1253;"02";"08";"GP1013";31/3/2016 0:00:00;1,00;242,00 €;30,00;6,00
1254;"02";"08";"GP1013";31/3/2016 0:00:00;1,00;242,00 €;27,00;6,00
1264;"02";"08";"ND2002";28/2/2012 0:00:00;1,00;156,00 €;30,00;6,00
1265;"02";"08";"ND2002";28/2/2012 0:00:00;1,00;156,00 €;27,00;6,00
