"IDGrupo";"Descripcion"
1;"AD PARTS"
2;"10 G"
3;"HOLDING"
4;"CGA"
6;"URVI"
7;"SERCA"
8;"DISMAN / SUMISUR"
9;"ASIDE"
10;"CECOFERSA"
11;"GESIN"
12;"HOLLY AUTO"
13;"DIREASO"
14;"TEYMO"
15;"AUTODISCO"
16;"AURGI"
17;"UNIREC"
18;"S A T"
19;"ADR-98"
20;"ACREVI"
21;"AGERAUTO"
22;"DIPARTS"
24;"GECORUSA"
25;"EHLIS"
26;"NO AGRUPADOS"
27;"CECAUTO"
28;"AREU"
29;"FERCODIS"
30;"DATACOL"
